name,all_reviews,developer,publisher,popular_tags,game_details,genre,mature_content,minimum_requirements,original_price
silent hunter®: wolves of the pacific u-boat missions,"Mostly Positive,(92),- 73% of the 92 user reviews for this game are positive.",Ubisoft Romania,"Ubisoft,Ubisoft","Simulation,Submarine,World War II,Naval","Single-player,Multi-player",Simulation,,,$9.99 
juice fx,"Positive,(11),- 100% of the 11 user reviews for this software are positive.","Manuel Jesús Bolaños Gómez,Davit Masia Coscollar","Manuel Jesús Bolaños Gómez,Manuel Jesús Bolaños Gómez","Design & Illustration,Utilities,Animation & Modeling,Game Development","Profile Features Limited 
									","Animation & Modeling,Design & Illustration,Utilities,Game Development",,,$19.99 
riff racer - race your music!,"Very Positive,(1,325),- 84% of the 1,325 user reviews for this game are positive.",FOAM Entertainment,"FOAM Entertainment,FOAM Entertainment","Racing,Music,Music-Based Procedural Generation,Indie,Casual,Driving,Arcade,Rhythm,Action,Singleplayer,Early Access,Great Soundtrack,Multiplayer,Atmospheric","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Casual,Indie,Racing",,"Minimum:,OS:,Windows 7,Processor:,AMD Turion X2/Intel Core 2 Duo,Memory:,2 GB RAM,Graphics:,Nvidia 8000 series or better,DirectX:,Version 9.0,Network:,Broadband Internet connection,Storage:,300 MB available space",$9.99 
lost planet® 3,"Mixed,(1,276),- 61% of the 1,276 user reviews for this game are positive.",Spark Unlimited,"Capcom,Capcom","Action,Third-Person Shooter,Sci-fi,Multiplayer,Shooter,Singleplayer,Atmospheric,Open World,Mechs,Adventure,Third Person,Horror,Aliens,Co-op,Story Rich,Survival,Controller,Masterpiece,Space","Single-player,Multi-player,Full controller support,Steam Trading Cards,Captions available,Steam Cloud",Action,,"Minimum:,OS:,Windows XP,Processor:,Dual core CPU 2.5 GHz,Memory:,3 GB RAM,Graphics:,NVIDIA® GeForce® 9800 or better, ATI Radeon™ HD 4770 or better,Storage:,16 GB available space,Sound Card:,Standard audio device",$24.99 
settlers of orion,"5 user reviews,- Need more user reviews to generate a score",Blue Blaze Gaming,"Blue Blaze Gaming,Blue Blaze Gaming","Casual,Strategy,Indie,Board Game","Single-player,Steam Achievements,Stats,Steam is learning about this game 
									","Casual,Indie,Strategy",,"Minimum:,OS:,XP/Windows 10,Processor:,2.4 GHZ,Memory:,2 GB RAM,Graphics:,512 MB,Network:,Broadband Internet connection,Storage:,100 MB available space",$4.99 
royal quest,"Mixed,(1,223),- 68% of the 1,223 user reviews for this game are positive.",Katauri,"1C Online Games,1C Online Games","Free to Play,Massively Multiplayer,RPG,Adventure,MMORPG,Open World,Fantasy,Multiplayer,Action,Hack and Slash,Third Person,Singleplayer,Co-op","MMO,Steam Achievements,Steam Trading Cards","Free to Play,Massively Multiplayer,RPG",,,Free to Play
rrrr,"Positive,(10),- 90% of the 10 user reviews for this game are positive.",Dnovel,"Dnovel,Dnovel","Action,Casual,Indie,Adventure,Massively Multiplayer,Platformer,Side Scroller,2D,Retro,Funny,Puzzle-Platformer,Arcade,Shooter,Early Access","Single-player,Local Multi-Player,Co-op,Local Co-op,Partial Controller Support,Profile Features Limited 
									","Action,Adventure,Casual,Indie,Massively Multiplayer",,,$9.99 
fear equation,"Very Positive,(51),- 80% of the 51 user reviews for this game are positive.",Screwfly Studios,"Screwfly Studios,Screwfly Studios","Strategy,RPG,Simulation,Indie,Horror","Single-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Simulation,Strategy",,,$14.99 
kami,"Overwhelmingly Positive,(579),- 95% of the 579 user reviews for this game are positive.",State of Play Games,"State of Play Games,State of Play Games","Puzzle,Casual,Indie,Relaxing,2D,Colorful,Singleplayer,Touch-Friendly,Difficult,Beautiful",Single-player,"Casual,Indie",,"Minimum:,OS:,Microsoft® Windows® XP, Windows Server 2008, Windows Vista® Home Premium, Business, Ultimate, or Enterprise (including 64 bit editions) with Service Pack 2, Windows 7, or Windows 8 Classic,Processor:,2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices,Memory:,512 MB RAM,Minimum:,OS:,Mac OS X v10.6, v10.7, v10.8, or v10.9,Processor:,Intel® Core™ Duo 1.83GHz or faster processor,Memory:,512 MB RAM",$3.99 
witch hunters: stolen beauty collector's edition,"1 user reviews,- Need more user reviews to generate a score",Top Evidence Studio,"Big Fish Games,Big Fish Games","Casual,Adventure,Hidden Object",Single-player,"Adventure,Casual",,,$9.99 
darkstar one,"Very Positive,(304),- 81% of the 304 user reviews for this game are positive.",Ascaron Entertainment ltd.,"Strategy First,Strategy First","Action,Space,Sci-fi,Space Sim,Simulation,Open World,RPG,Exploration",Single-player,Action,,,$9.99 
x-superbox,,Egosoft,Egosoft,,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Captions available,Steam Cloud","Action,Simulation,Strategy",,,$39.99 
弾幕アマノジャク 〜 impossible spell card.,"Very Positive,(51),- 100% of the 51 user reviews for this game are positive.",上海アリス幻樂団,"Mediascape Co., Ltd.,Mediascape Co., Ltd.","Indie,Action,Bullet Hell,Faith,Great Soundtrack,Shoot 'Em Up,Female Protagonist,Difficult,Anime,2D","Single-player,Partial Controller Support,Steam Cloud","Action,Indie",,"Minimum:,OS:,Windows 7/8/10,Processor:,Core 2 Duo or faster,Memory:,1024 MB RAM,Graphics:,Shader Model 2.0 compatible,DirectX:,Version 9.0c,Storage:,600 MB available space,Sound Card:,DirectSound compatible",$10.99 
qbeh-1: the atlas cube,"Very Positive,(498),- 87% of the 498 user reviews for this game are positive.",Liquid Flower,"Digital Tribe,Digital Tribe","Puzzle,Indie,Casual,First-Person,Atmospheric,Adventure,Platformer,Level Editor,Building,Great Soundtrack,Singleplayer,Exploration,VR,Relaxing,Parkour","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Includes level editor","Adventure,Casual,Indie",,"Minimum:,OS:,Windows Vista/7 /8,Processor:,2 GHz (or 4 GHz for CPUs like Celeron/Duron),Memory:,2 GB RAM,Graphics:,DirectX 9.0c compatible; integrated or very low budget cards may not work,DirectX:,Version 9.0c,Storage:,3000 MB available space,Sound Card:,DirectX compatible sound card",$9.99 
videoball,"Very Positive,(98),- 85% of the 98 user reviews for this game are positive.","Action Button Entertainment, LLC","Iron Galaxy,Iron Galaxy","Indie,Sports,Action,Local Multiplayer,4 Player Local,Multiplayer","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards","Action,Indie,Sports",,"Minimum:,OS:,Windows XP,Processor:,Core 2 Duo,Memory:,2 GB RAM,Graphics:,Intel HD 4000,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,200 MB available space,Additional Notes:,Two-, four-, or six-player local multiplayer requires at least one, three, or five controller(s) (respectively) with at least one directional input implement (digital or analog) and two buttons each (one button is action; the other button will pause the game).",$9.99 
costume quest,"Very Positive,(1,688),- 94% of the 1,688 user reviews for this game are positive.",Double Fine Productions,"Double Fine Productions,Double Fine Productions","RPG,Adventure,Comedy,Casual,Singleplayer,Family Friendly,Turn-Based,Cute,Indie,Funny,Short,Female Protagonist,Turn-Based Strategy,Puzzle,Turn-Based Combat,Quick-Time Events,Controller,Fantasy,Cartoony,JRPG","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,RPG",,"Minimum:,OS:,Windows XP SP3,Processor:,1.4 GHz dual core CPU,Memory:,1 GB RAM,Hard Disk Space:,1.0 GB free hard drive space,Video Card:,256 MB GeForce 7600GS, Radeon X1600, or Intel HD Graphics,Minimum:,OS:,Snow Leopard 10.6.8, or later,Processor:,Intel Core Duo Processor,Memory:,2 GB RAM,Hard Disk Space:,700 MB HD space,Video Card:,ATI HD 2600 / NVIDIA 8800GT / Intel HD3000 or better card with at least 256 MB VRAM",$9.99 
rico,"Mixed,(165),- 68% of the 165 user reviews for this game are positive.",Ground Shatter,"Rising Star Games,Rising Star Games","Action,Indie,Violent,FPS,Procedural Generation,Online Co-Op,Local Co-Op,Rogue-lite","Single-player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support","Action,Indie"," Mature Content Description  The developers describe the content like this:  Although arcade in nature, RICO is still a first-person game where you shoot bad guys. Lots of bad guys. Sometimes square in the face. And there's blood! A fair amount of blood. So, please be aware of that before introducing your friends, family and loved ones to the world of RICO. Because guns don't kill virtual criminals - virtual police people do.  ",,$19.99 
atom zombie smasher,"Very Positive,(783),- 88% of the 783 user reviews for this game are positive.",Blendo Games,"Blendo Games,Blendo Games","Strategy,Zombies,Indie,Top-Down,Tower Defense,Tactical,Replay Value,Procedural Generation,Great Soundtrack,Local Co-Op,Singleplayer,Local Multiplayer,Co-op,Moddable,Sandbox,Casual,Addictive","Single-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Stats","Indie,Strategy",,,$9.99 
blazerush,"Very Positive,(581),- 87% of the 581 user reviews for this game are positive.",Targem Games,"Targem Games,Targem Games","Racing,Indie,Action,Arcade,Local Multiplayer,4 Player Local,VR,Top-Down,Multiplayer","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Racing",,"Minimum:,OS:,Windows XP SP3,Processor:,2.0 Ghz Intel Pentium-4 / AMD Athlon II,Memory:,1 GB RAM,Graphics:,256 MB NVidia / AMD Radeon / Intel (HD 3000, HD 4000) with support for Pixel Shader 3.0 (AMD Radeon X1000 not supported),Network:,Broadband Internet connection,Storage:,1 GB available space,Minimum:,OS:,Snow Leopard (10.7.X),Processor:,2.0 GHz Intel,Graphics:,512 MB NVidia / AMD Radeon / Intel HD 3000, HD 4000,Additional Notes:,Not recommended for Intel integrated graphics or Mac Minis or early-generation MacBooks,Minimum:,OS:,Ubuntu 12.04 LTS or SteamOS,Processor:,2.0 Ghz Intel Pentium-4 / AMD Athlon II,Graphics:,512 MB NVidia / AMD Radeon / Intel (HD 3000, HD 4000) with support for Pixel Shader 3.0 (AMD Radeon X1000 not supported)",$9.99 
tales from candlekeep: tomb of annihilation,"Mostly Positive,(1,250),- 76% of the 1,250 user reviews for this game are positive.",BKOM Studios,"BKOM Studios,BKOM Studios","RPG,Dungeons & Dragons,Adventure,Board Game,Strategy,Turn-Based,Singleplayer,Turn-Based Strategy,Indie,Dungeon Crawler,Fantasy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,RPG,Strategy",,,$15.99 
imperium galactica ii,"Very Positive,(172),- 81% of the 172 user reviews for this game are positive.","Digital Reality,Gyroscope Games","THQ Nordic,THQ Nordic","Strategy,Space,Classic,4X,RTS","Single-player,Multi-player,Online Multi-Player,Steam Cloud",Strategy,,,$9.99 
earth defense force 4.1 wingdiver the shooter bundle,,SANDLOT,D3 PUBLISHER,,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,,,
shardlight,"Very Positive,(268),- 89% of the 268 user reviews for this game are positive.",Wadjet Eye Games,"Wadjet Eye Games,Wadjet Eye Games","Adventure,Female Protagonist,Indie,Point & Click,Pixel Graphics,Post-apocalyptic,Singleplayer,Atmospheric,2D,Story Rich,Mystery,RPG,Multiple Endings,Third Person,Puzzle,Hand-drawn,Classic","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie,RPG",,"Minimum:,OS:,Windows ME or higher,Processor:,Pentium or higher,Memory:,64 MB RAM,Graphics:,640x400, 32-bit colour: 700 Mhz system minimum,DirectX:,Version 5.2,Storage:,2 GB available space,Sound Card:,All DirectX-compatible sound cards",$14.99 
toki,"Positive,(18),- 83% of the 18 user reviews for this game are positive.",Microids,"Microids,Microids","Adventure,Platformer","Single-player,Steam Achievements,Full controller support",Adventure,,,$19.99 
silicon zeroes,"Very Positive,(147),- 95% of the 147 user reviews for this game are positive.",PleasingFungus Games,"PleasingFungus Games,PleasingFungus Games","Simulation,Indie,Programming,Puzzle,Hacking,Education,Singleplayer,Difficult","Single-player,Steam Achievements,Steam Cloud","Indie,Simulation",,,$14.99 
viridi,"Very Positive,(6,131),- 90% of the 6,131 user reviews for this game are positive.","Zoe Vartanian,Badru,Isa Hutchinson,Michael Bell","Ice Water Games,Ice Water Games","Free to Play,Relaxing,Simulation,Casual,Atmospheric,Singleplayer,Indie,Cute,Great Soundtrack,Sandbox,Family Friendly,Agriculture,Nature,Real-Time","Single-player,Steam Cloud","Casual,Free to Play,Indie,Simulation",,,Free
farm for your life,"Mostly Positive,(416),- 78% of the 416 user reviews for this game are positive.",Hammer Labs,"Hammer Labs,Hammer Labs","Simulation,Casual,Strategy,Indie,Zombies,Agriculture,Tower Defense,Time Management","Single-player,Steam Achievements","Casual,Indie,Simulation,Strategy",,,$9.99 
battle brothers supporter edition,,Overhype Studios,Overhype Studios,,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy",,,
space hulk,"Mixed,(1,397),- 69% of the 1,397 user reviews for this game are positive.",Full Control Studios,"Full Control,Full Control","Warhammer 40K,Strategy,Turn-Based,Board Game,Games Workshop,Turn-Based Strategy,Sci-fi,Indie,Tactical,Singleplayer,Multiplayer","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards","Indie,Strategy",,"Minimum:,OS:,Windows XP,Processor:,2 GHz Dual Core,Memory:,2 GB RAM,Graphics:,NVIDIA GeForce 8600 GT / ATI Radeon HD 2600 XT or greater,DirectX:,Version 9.0,Storage:,4 GB available space,Sound Card:,DirectX Compatible,Minimum:,OS:,OSX 10.6,Processor:,2.0 GHz Intel Core 2 Duo (Dual-Core),Memory:,2 GB RAM,Storage:,4 GB available space,Minimum:,OS:,Ubuntu 13.04,Processor:,2.0 GHz Intel Core 2 Duo (Dual-Core),Memory:,2 GB RAM,Storage:,4 GB available space",$24.99 
zuma's revenge!,"Very Positive,(352),- 95% of the 352 user reviews for this game are positive.","PopCap Games, Inc.","PopCap Games, Inc.,PopCap Games, Inc.","Casual,Action,Match 3,Singleplayer,Puzzle","Single-player,Steam Achievements,Stats","Action,Casual",,,$4.99 
lovekami -useless goddess-,"Very Positive,(92),- 84% of the 92 user reviews for this game are positive.",MoeNovel,"MoeNovel,MoeNovel","Sexual Content,Nudity,Visual Novel,Anime,Casual,Adventure,Simulation,Dating Sim,Psychological Horror","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Simulation"," Mature Content Description  The developers describe the content like this:  While there are no visual nor text-based depictions of sexual activity, there are scenes in the title in which the female characters are scantily-clad and/or showing relatively high amounts of skin, as well as discussions about sexual acts (none of which are depicted).  ",,$12.99 
city game studio,"Mostly Positive,(152),- 75% of the 152 user reviews for this game are positive.",Binogure Studio,"Binogure Studio,Binogure Studio","Early Access,Strategy,Simulation,Indie,Management,Singleplayer,Replay Value,Sandbox,Comedy,Great Soundtrack,2D,GameMaker,Isometric,Economy,Casual,Funny,Point & Click,Early Access,Building,Addictive","Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards","Indie,Simulation,Strategy,Early Access",,"Minimum:,OS:,Windows Vista, 7, 8, 8.1, 10,Processor:,Single Core,Memory:,2 GB RAM,Graphics:,OpenGL 3.0 (1280x720),Storage:,512 MB available space,Sound Card:,Stéréo,Minimum:,OS:,10.14,Processor:,Single Core,Memory:,4096 MB RAM,Graphics:,OpenGL 3.0 (1280x720),Storage:,512 MB available space,Sound Card:,Stéréo,Minimum:,OS:,Linux Kernel 4.0, Mesa 12, X11 7 (or above),Processor:,Single Core,Memory:,2 GB RAM,Graphics:,OpenGL 3.0 (1280x720),Storage:,512 MB available space,Sound Card:,Stereo",$15.99 
stonekeep,"Positive,(29),- 100% of the 29 user reviews for this game are positive.",Interplay,"Interplay,Interplay","RPG,Action,Adventure,Dungeon Crawler,Classic,1990's,First-Person",Single-player,"Action,Adventure,RPG",,"Minimum:,OS:,Windows (XP, Vista, 7, 8, 10),Processor:,1 GHz Processor,Memory:,512 MB RAM,Graphics:,3D graphics card compatible with DirectX 7,Storage:,626.9 MB available space",$9.99 
simbin mega bundle,,SimBin Studios AB,SimBin,,"Single-player,Multi-player,Downloadable Content","Racing,Simulation,Sports",,,$39.99 
conclave,"Mostly Positive,(36),- 77% of the 36 user reviews for this game are positive.",10x10 Room,"10x10 Room,10x10 Room","RPG,Indie,Co-op,Turn-Based,Online Co-Op,Fantasy,Multiplayer,Singleplayer,Story Rich","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer","Indie,RPG",,,$9.99 
super bomberman r,"Mixed,(108),- 49% of the 108 user reviews for this game are positive.",Konami Digital Entertainment,"Konami Digital Entertainment,Konami Digital Entertainment","Action,Multiplayer,Arcade,Singleplayer,Local Multiplayer","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Partial Controller Support",Action,,"Minimum:,OS:,Windows 7 / 8.1 / 10,Processor:,Intel Core i5 3GHz or faster processor,Memory:,4 GB RAM,Graphics:,DirectX 11 compatible,DirectX:,Version 11,Storage:,6 GB available space,Sound Card:,Direct Sound,Additional Notes:,Online Connection Requirements:  512 KBPS or faster Internet connection",$39.99 
lamplight city,"Very Positive,(130),- 90% of the 130 user reviews for this game are positive.",Grundislav Games,"Application Systems Heidelberg,Application Systems Heidelberg","Adventure,Indie,Point & Click,Retro,Third Person,Detective,Singleplayer,Story Rich,Mystery,Noir,2D,Hand-drawn,Great Soundtrack,Pixel Graphics,Atmospheric,Classic,Puzzle,Nudity,Choices Matter,Investigation","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie"," Mature Content Description  The developers describe the content like this:  The game deals with some mature themes, such as murder, attempted murder, torture, and contains some depictions of nudity. However, as the game is lower resolution pixel art, nothing incredibly graphic is seen.  ",,$14.99 
mega man x legacy collection 2 / ロックマンx アニバーサリー コレクション 2,"Mixed,(349),- 69% of the 349 user reviews for this game are positive.","CAPCOM CO., LTD","CAPCOM CO., LTD,CAPCOM CO., LTD","Action,Platformer,2D,Classic,Singleplayer,Side Scroller,Great Soundtrack,Anime,Difficult,Retro,Robots","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Action,,"Minimum:,Requires a 64-bit processor and operating system,OS:,WINDOWS® 7 (64bit),Processor:,Intel® Core™ i3 550 3.2GHz or AMD equivalent or better,Memory:,2 GB RAM,Graphics:,NVIDIA® GeForce® GTX 660 or ATI Radeon™ HD 7850,DirectX:,Version 10,Storage:,7 GB available space,Sound Card:,DirectSound (DirectX® 10.0c or better),Additional Notes:,*Recommended Controller Xbox 360 Controller (Windows®7/8/8.1) Xbox One Wireless Controller (Windows®10) *Internet connection required for game activation.*DirectX9.0c is also required, along with the DirectX Version mentioned above.",$19.99 
lovely planet,"Very Positive,(1,110),- 94% of the 1,110 user reviews for this game are positive.",QUICKTEQUILA,"tinyBuild,tinyBuild","Indie,FPS,Action,Cute,Great Soundtrack,Fast-Paced,Difficult,Shooter,Anime,First-Person,Singleplayer,Platformer,Abstract,Colorful,3D Platformer,Masterpiece,Arcade,Psychological Horror,Adventure,Open World","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats","Action,Indie",,,$5.99 
jamestown,"Very Positive,(549),- 94% of the 549 user reviews for this game are positive.",Final Form Games,"Final Form Games,Final Form Games","Shoot 'Em Up,Bullet Hell,Local Co-Op,Indie,Steampunk,Arcade,Action,4 Player Local,Difficult,Local Multiplayer,2D,Pixel Graphics,Co-op,Great Soundtrack,Retro,Mars,Alternate History,Shooter,Singleplayer,Sci-fi","Single-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Stats,Steam Leaderboards","Action,Indie",,"OS:,OS X version Snow Leopard 10.6.3 or later.,Processor:,Intel® Core2 Duo 2.1 Ghz or better,Memory:,2 GB RAM,Hard Disk Space:,250 MB,Video Card:,Any OpenGL 2.0 graphics card with 256MB+ video RAM and full GLSL support,Additional:,One keyboard, controller, or mouse required per player. Supports multiple joysticks. 3-buttons required for mouse play.",$9.99 
prince of persia: the forgotten sands™,"Mixed,(711),- 65% of the 711 user reviews for this game are positive.",Ubisoft Montreal,"Ubisoft,Ubisoft","Action,Adventure,Platformer,Parkour,Third Person,Singleplayer,Fantasy,Masterpiece,Hack and Slash",Single-player,"Action,Adventure",,,$9.99 
clam man,"Positive,(18),- 88% of the 18 user reviews for this game are positive.",Team Clam,"Team Clam,Team Clam","Adventure,Indie,Point & Click,Funny,Comedy","Single-player,Steam Achievements,Steam is learning about this game 
									","Adventure,Indie",,"Minimum:,OS:,Windows 7, 8 or 10,Processor:,1.8Ghz and upwards to infinity and beyond (but yeah make sure it's a processor with SSE2 instruction set support),Memory:,2 GB RAM,Graphics:,Most integrated graphics chips work fine (as long as you dont dip them in ranch haha get it because chip),DirectX:,Version 10,Storage:,1500 MB available space,Sound Card:,One that can make underwater sounds, or not. You don't really need one. It's cool.,Additional Notes:,If you regularly play games on your PC, Clam Man should run just fine,Minimum:,OS:,MacOS 10.11 (EL CAPITAN),Processor:,The classic mac processor,Memory:,2 GB RAM,Graphics:,The ones you have in your mac,Storage:,1500 MB available space,Sound Card:,The classic mac sound card,Additional Notes:,Most macs and macbooks from 2014 and up will run Clam Man perfectly well!,Minimum:,OS:,Ubuntu 12.04+, Mint 14+ (kernel version 3.2, both 32- and 64-bit),Processor:,1,8 ghz (Requires SSE2 instruction set support, i.e. most modern processors),Memory:,2 GB RAM,Graphics:,Most integrated graphics chips work fine (as long as you dont dip them in ranch haha get it because chip),Storage:,1500 MB available space,Sound Card:,One that can make underwater sounds and play the trademarked Clam Man trailer on Youtube,Additional Notes:,Get in touch with us if you're unsure if you can run it or not!",$9.99 
the great c,"Very Positive,(117),- 89% of the 117 user reviews for this game are positive.",Secret Location Inc.,"Secret Location Inc.,Secret Location Inc.","Casual,Adventure,VR",Single-player,"Adventure,Casual",,"Minimum:,OS:,Windows 10 or newer,Processor:,Intel i5-4590 / Ryzen 5 1600 equivalent or greater,Memory:,8 GB RAM,Graphics:,NVIDIA GTX 970 / AMD Radeon R9 290 or greater,Storage:,25 GB available space",$5.99 
rainbow six bundle,,Ubisoft Montreal,Ubisoft,,"Single-player,Multi-player,Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support",Action,,,
7th sector,"Very Positive,(102),- 87% of the 102 user reviews for this game are positive.",Носков Сергей,"Носков Сергей,Носков Сергей","Adventure,Indie,Puzzle,Cyberpunk,Atmospheric,Platformer,Singleplayer,Robots,Horror,Sci-fi,Action,Mystery,Dystopian","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Adventure,Indie",,"Minimum:,OS:,Windows XP / 7,Processor:,Intel Dual-Core 2.4 GHz,Memory:,2 GB RAM,Graphics:,NVIDIA GeForce GTX 275, GeForce GT,DirectX:,Version 9.0,Storage:,720 MB available space",$12.99 
sword of the stars: the pit,"Very Positive,(890),- 87% of the 890 user reviews for this game are positive.",Kerberos Productions Inc.,"Kerberos Productions Inc.,Kerberos Productions Inc.","Rogue-like,RPG,Sci-fi,Indie,Turn-Based,Strategy,Crafting,Grid-Based Movement,2D,Difficult,Resource Management,Inventory Management,Singleplayer,Perma Death,Casual,Procedural Generation,Survival,Replay Value,Turn-Based Strategy,Character Customization","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Casual,Indie,RPG,Strategy",,"Minimum:,OS:,Windows XP,Processor:,Intel Pentium 1.6 GHz or equivalent,Memory:,2 GB RAM,Graphics:,512 MB DX compatible card,DirectX®:,9.0c,Hard Drive:,1.4 GB HD space,Sound:,Any Windows compatible sound device,Additional:,Controller support: 2-button mouse, keyboard and speakers",$9.99 
armed and dangerous®,"Very Positive,(124),- 87% of the 124 user reviews for this game are positive.",Planet Moon Studios,"LucasArts,Lucasfilm,Disney Interactive,LucasArts,Lucasfilm,Disney Interactive","Action,Third-Person Shooter,Funny,Comedy,Classic,Shooter","Single-player,Steam Cloud",Action,,,$5.99 
changed & soundtrack,,DragonSnow,DragonSnow,,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards","Adventure,Indie,RPG",,,
skyborn,"Very Positive,(418),- 88% of the 418 user reviews for this game are positive.",Dancing Dragon Games,"Degica,Degica","RPGMaker,RPG,Steampunk,Female Protagonist,JRPG,Indie,Fantasy,Casual,Singleplayer,Retro,Adventure,Anime,Story Rich,Great Soundtrack,Turn-Based,2D,Strategy,Pixel Graphics","Single-player,Steam Achievements,Steam Trading Cards","Casual,RPG",,,$14.99 
nancy drew®: secret of the old clock,"Positive,(24),- 95% of the 24 user reviews for this game are positive.",HeR Interactive,"HeR Interactive,HeR Interactive","Adventure,Point & Click,Mystery,Female Protagonist,Puzzle,Detective",Single-player,Adventure,,,$6.99 
oriental empires,"Mostly Positive,(1,409),- 77% of the 1,409 user reviews for this game are positive.",Shining Pixel Studios,"Iceberg Interactive,Iceberg Interactive","Strategy,Historical,Simulation,Turn-Based Strategy,Turn-Based,4X,Indie,Grand Strategy,War,Multiplayer,Sandbox,Military,PvP,Singleplayer,Tactical,Survival,Early Access,Adventure,Great Soundtrack","Single-player,Multi-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",,"Minimum:,OS:,Windows 7 64 bit (32 bit NOT supported),Processor:,Intel Core i5-3230M @ 2.60GHz or equivalent AMD processor and above,Memory:,4 GB RAM,Graphics:,256 MB DX 9 Compliant videocard with pixel shader 3,0,DirectX:,Version 9.0c,Storage:,2 GB available space,Sound Card:,DirectX 9 Compatible Audio,Additional Notes:,Minimum Resolution: 1024 x 768",$29.99 
tt isle of man,"Mixed,(464),- 69% of the 464 user reviews for this game are positive.",KT Racing,"Bigben Interactive,Bigben Interactive","Simulation,Racing,Multiplayer,Sports","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","Racing,Simulation",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows® 7 64bits,Processor:,Intel Core i3-2100 3.10 GHz / AMD Phenom II X2 550 3.1GHz,Memory:,4 GB RAM,Graphics:,NVIDIA® GeForce® GTX 650 2 GB / AMD Radeon™ HD 7770 2 GB,DirectX:,Version 11,Storage:,20 GB available space,Sound Card:,DirectX Compatible Soundcard",$39.99 
